,DECK_Open,DECK_High,DECK_Low,DECK_Close,DECK_Adj Close,DECK_Volume,DECK_Dividend Amount,DECK_Split Coefficient
2017-12-08,76.73,78.38,76.32,77.72,12.9533333333333,442845,0.0,1.0
2017-12-07,76.08,77.17,75.5,76.28,12.7133333333333,470969,0.0,1.0
2017-12-06,74.71,76.15,74.26,75.79,12.6316666666667,511823,0.0,1.0
2017-12-05,77.35,77.43,74.29,74.38,12.3966666666667,515809,0.0,1.0
2017-12-04,76.21,77.76,75.4642,77.0,12.8333333333333,754265,0.0,1.0
2017-12-01,74.47,74.73,72.67,74.69,12.4483333333333,652173,0.0,1.0
2017-11-30,75.04,75.61,73.9,74.73,12.455,795305,0.0,1.0
2017-11-29,72.94,75.3,72.94,75.01,12.5016666666667,945179,0.0,1.0
2017-11-28,72.42,72.83,71.52,72.73,12.1216666666667,581130,0.0,1.0
2017-11-27,74.39,74.98,72.34,72.42,12.07,667740,0.0,1.0
2017-11-24,74.41,74.53,73.34,73.93,12.3216666666667,247038,0.0,1.0
2017-11-22,73.14,75.41,73.045,74.31,12.385,727735,0.0,1.0
2017-11-21,72.27,73.61,71.65,73.09,12.1816666666667,725865,0.0,1.0
2017-11-20,71.62,72.89,71.62,72.56,12.0933333333333,780261,0.0,1.0
2017-11-17,70.61,71.84,70.42,71.32,11.8866666666667,777732,0.0,1.0
2017-11-16,68.66,71.0,68.66,70.07,11.6783333333333,472921,0.0,1.0
2017-11-15,69.33,69.54,68.32,68.45,11.4083333333333,696922,0.0,1.0
2017-11-14,68.78,70.185,68.75,69.64,11.6066666666667,478578,0.0,1.0
2017-11-13,68.37,69.38,68.34,69.25,11.5416666666667,650859,0.0,1.0
2017-11-10,66.48,68.91,66.48,68.45,11.4083333333333,510102,0.0,1.0
2017-11-09,65.7,66.75,65.36,66.5,11.0833333333333,445568,0.0,1.0
2017-11-08,64.16,66.12,64.0011,65.9,10.9833333333333,506497,0.0,1.0
2017-11-07,65.2,65.45,63.32,64.57,10.7616666666667,723958,0.0,1.0
2017-11-06,65.89,66.29,64.86,65.19,10.865,722683,0.0,1.0
2017-11-03,68.54,68.54,66.03,66.11,11.0183333333333,580896,0.0,1.0
2017-11-02,68.85,69.07,67.9,68.46,11.41,586227,0.0,1.0
2017-11-01,68.62,69.375,67.95,68.86,11.4766666666667,804261,0.0,1.0
2017-10-31,70.9,71.08,67.69,68.24,11.3733333333333,997653,0.0,1.0
2017-10-30,72.5,72.5,70.28,70.62,11.77,888454,0.0,1.0
2017-10-27,71.9,73.45,68.77,72.49,12.0816666666667,2251729,0.0,1.0
2017-10-26,68.63,70.8,68.57,70.16,11.6933333333333,1009915,0.0,1.0
2017-10-25,66.87,68.8824,66.71,68.68,11.4466666666667,459496,0.0,1.0
2017-10-24,65.88,67.54,65.88,67.18,11.1966666666667,684472,0.0,1.0
2017-10-23,66.09,67.08,65.46,65.76,10.96,516892,0.0,1.0
2017-10-20,65.7,67.02,65.635,66.09,11.015,430772,0.0,1.0
2017-10-19,65.52,65.67,64.71,64.8,10.8,398212,0.0,1.0
2017-10-18,65.42,66.81,64.4,65.93,10.9883333333333,861309,0.0,1.0
2017-10-17,64.95,66.3,64.93,65.31,10.885,610036,0.0,1.0
2017-10-16,64.56,64.75,63.331,64.65,10.775,1475559,0.0,1.0
2017-10-13,65.94,66.67,65.5575,65.83,10.9716666666667,643424,0.0,1.0
2017-10-12,69.06,69.06,65.52,65.82,10.97,937145,0.0,1.0
2017-10-11,71.29,71.59,69.22,69.23,11.5383333333333,637702,0.0,1.0
2017-10-10,71.36,72.13,71.24,71.62,11.9366666666667,370982,0.0,1.0
2017-10-09,71.17,71.75,70.59,71.0,11.8333333333333,535996,0.0,1.0
