,EQIX_Open,EQIX_High,EQIX_Low,EQIX_Close,EQIX_Adj Close,EQIX_Volume,EQIX_Dividend Amount,EQIX_Split Coefficient
2017-08-16,449.66,455.74,447.66,454.79,397.38258445467,303840,0.0,1.0
2017-08-15,445.72,449.48,445.72,448.33,391.738019940109,278870,0.0,1.0
2017-08-14,441.39,450.3,441.39,449.49,392.751594992259,430421,0.0,1.0
2017-08-11,440.71,441.9,437.32,438.39,383.052730269097,327059,0.0,1.0
2017-08-10,446.66,446.92,438.54,439.48,384.00514130948,276516,0.0,1.0
2017-08-09,441.61,448.46,440.17,447.81,391.283658709835,356467,0.0,1.0
2017-08-08,442.81,444.89,439.1,441.53,385.796373082676,295269,0.0,1.0
2017-08-07,445.96,450.535,443.95,444.23,388.155556393716,474558,0.0,1.0
2017-08-04,449.45,453.54,441.82,445.58,389.335148049235,440411,0.0,1.0
2017-08-03,459.0,459.0,442.615,449.36,392.638004684691,816193,0.0,1.0
2017-08-02,454.08,457.46,445.73,455.47,397.976749140413,632285,0.0,1.0
2017-08-01,452.25,455.37,450.86,453.08,395.888435024345,451306,0.0,1.0
2017-07-31,449.14,451.29,446.44,450.73,393.835071772144,365425,0.0,1.0
2017-07-28,441.79,448.33,441.79,447.9,391.362298153536,353768,0.0,1.0
2017-07-27,441.97,443.96,436.19,442.87,386.967227022229,368919,0.0,1.0
2017-07-26,438.32,442.48,436.96,440.04,384.494453403621,324973,0.0,1.0
2017-07-25,442.53,445.345,434.56,436.96,381.803236885843,258619,0.0,1.0
2017-07-24,441.04,442.715,438.26,441.6,385.857537094444,267935,0.0,1.0
2017-07-21,439.53,445.1975,439.53,441.44,385.717733638975,512744,0.0,1.0
2017-07-20,440.2,443.6,438.06,441.21,385.516766171738,467284,0.0,1.0
2017-07-19,438.62,444.55,434.0911,440.5,384.896388338095,380905,0.0,1.0
2017-07-18,435.0,438.57,431.8579,438.28,382.956615393462,382525,0.0,1.0
2017-07-17,437.7,438.87,433.64,435.48,380.510054922755,454211,0.0,1.0
2017-07-14,437.92,443.4543,436.68,437.7,382.449827867387,299134,0.0,1.0
2017-07-13,436.43,438.53,434.2301,436.24,381.174121336232,297041,0.0,1.0
2017-07-12,433.25,439.94,430.97,437.11,381.934302625345,434807,0.0,1.0
2017-07-11,427.98,431.815,426.3,431.04,376.63050903349,545148,0.0,1.0
2017-07-10,423.77,427.99,423.15,427.085,373.174742368616,427427,0.0,1.0
2017-07-07,418.98,425.35,418.78,423.3,369.867516875177,353581,0.0,1.0
2017-07-06,421.5,423.69,416.64,418.43,365.612249199339,436338,0.0,1.0
2017-07-05,424.03,425.555,420.59,424.08,370.549058720588,367697,0.0,1.0
2017-07-03,431.54,435.11,421.315,422.76,369.395680212969,253337,0.0,1.0
2017-06-30,424.08,431.23,423.56,429.16,374.987818431729,520193,0.0,1.0
2017-06-29,428.12,431.0,416.72,421.28,368.102498249881,586315,0.0,1.0
2017-06-28,436.65,437.96,429.34,430.76,376.385852986419,356688,0.0,1.0
2017-06-27,437.94,439.825,433.15,433.65,378.911052900828,404454,0.0,1.0
2017-06-26,434.37,440.14,433.7,438.49,383.140107428765,459676,0.0,1.0
2017-06-23,439.79,442.62,433.79,434.07,379.278036971434,1002923,0.0,1.0
2017-06-22,436.2,442.5,433.01,440.29,384.712896302792,584970,0.0,1.0
2017-06-21,431.9,437.0,426.78,436.49,381.392564235403,695413,0.0,1.0
2017-06-20,433.78,435.55,430.1,433.94,379.164446663866,443234,0.0,1.0
2017-06-19,427.86,432.639,426.65,432.22,377.661559517574,455076,0.0,1.0
2017-06-16,436.36,437.34,424.02,427.28,373.345127829968,1702031,0.0,1.0
2017-06-15,429.08,435.28,427.1,433.96,379.181922095799,315186,0.0,1.0
2017-06-14,436.43,437.34,430.78,432.1,377.556706925972,407657,0.0,1.0
2017-06-13,425.57,435.0,425.44,430.54,376.193623235149,393340,0.0,1.0
2017-06-12,436.78,440.165,422.27,425.01,371.361666305502,836525,0.0,1.0
2017-06-09,439.39,442.7,435.78,439.21,383.769222978376,549105,0.0,1.0
2017-06-08,441.75,441.87,434.06,440.39,384.80027346246,388120,0.0,1.0
2017-06-07,442.02,444.32,437.16,440.69,385.062404941464,369442,0.0,1.0
2017-06-06,444.44,447.26,441.08,442.31,386.477914928088,370917,0.0,1.0
