,FTV_Open,FTV_High,FTV_Low,FTV_Close,FTV_Adj Close,FTV_Volume,FTV_Dividend Amount,FTV_Split Coefficient
2017-04-17,60.5,60.57,60.065,60.48,49.1090437124079,978281,0.0,1.0
2017-04-13,60.5,60.92,60.29,60.33,48.9872454889148,1215355,0.0,1.0
2017-04-12,60.79,60.94,60.23,60.5,49.1252834755403,1546100,0.0,1.0
2017-04-11,60.66,60.97,60.41,60.77,49.3445202778278,2477402,0.0,1.0
2017-04-10,60.5,61.11,60.47,61.0,49.5312775538506,1224559,0.0,1.0
2017-04-07,60.58,60.7,60.35,60.47,49.1009238308417,521387,0.0,1.0
2017-04-06,60.27,60.78,60.15,60.57,49.1821226465037,719920,0.0,1.0
2017-04-05,60.26,60.79,60.06,60.25,48.9222864363852,1389853,0.0,1.0
2017-04-04,60.12,60.3,59.805,60.02,48.7355291603625,1514787,0.0,1.0
2017-04-03,60.16,60.65,59.54,60.13,48.8248478575907,1918021,0.0,1.0
2017-03-31,59.57,60.4,59.38,60.22,48.8979267916866,1220824,0.0,1.0
2017-03-30,59.72,59.99,59.45,59.62,48.4107338977143,1155660,0.0,1.0
2017-03-29,59.86,60.41,59.51,59.65,48.4350935424129,1377032,0.0,1.0
2017-03-28,59.04,59.77,58.75,59.59,48.3863742530157,817860,0.0,1.0
2017-03-27,58.72,59.3,58.15,59.08,47.9722602931392,943158,0.0,1.0
2017-03-24,60.18,60.18,58.94,59.31,48.1590175691619,1811179,0.0,1.0
2017-03-23,58.31,58.84,58.29,58.53,47.5256668069979,1054543,0.0,1.0
2017-03-22,58.51,58.82,58.29,58.49,47.4931872807331,1661136,0.0,1.0
2017-03-21,59.28,59.47,58.34,58.51,47.5094270438655,1860961,0.0,1.0
2017-03-20,59.6,59.85,58.96,59.0,47.9073012406096,1467799,0.0,1.0
2017-03-17,59.73,59.815,59.44,59.58,48.3782543714494,1929291,0.0,1.0
2017-03-16,59.73,59.9199,59.4,59.51,48.321415200486,1428077,0.0,1.0
2017-03-15,58.78,59.88,58.78,59.7,48.4756929502439,1783872,0.0,1.0
2017-03-14,58.48,58.65,58.25,58.55,47.5419065701303,951031,0.0,1.0
2017-03-13,58.45,58.97,58.09,58.77,47.7205439645868,1573550,0.0,1.0
2017-03-10,58.28,58.55,57.98,58.31,47.3470294125414,1219101,0.0,1.0
2017-03-09,58.08,58.47,57.83,58.02,47.1115528471215,1308068,0.0,1.0
2017-03-08,58.21,58.47,58.02,58.17,47.2333510706145,1290575,0.0,1.0
