,QLYS_Open,QLYS_High,QLYS_Low,QLYS_Close,QLYS_Adj Close,QLYS_Volume,QLYS_Dividend Amount,QLYS_Split Coefficient
2017-08-24,45.45,46.5,45.25,46.0,46.0,215300,0.0,1.0
2017-08-23,45.3,45.65,45.05,45.25,45.25,96441,0.0,1.0
2017-08-22,45.3,45.85,45.3,45.65,45.65,162918,0.0,1.0
2017-08-21,44.85,45.4,44.3,45.3,45.3,166283,0.0,1.0
2017-08-18,44.4,45.15,44.4,44.95,44.95,131145,0.0,1.0
2017-08-17,45.25,45.7,44.4,44.6,44.6,139487,0.0,1.0
2017-08-16,45.35,45.75,45.0,45.5,45.5,185155,0.0,1.0
2017-08-15,45.25,45.45,44.65,45.05,45.05,152372,0.0,1.0
2017-08-14,45.25,45.5499,44.5,45.05,45.05,346762,0.0,1.0
2017-08-11,43.65,44.65,43.65,44.6,44.6,252788,0.0,1.0
2017-08-10,44.7,44.8,43.35,43.6,43.6,250453,0.0,1.0
2017-08-09,45.3,45.4,44.65,45.0,45.0,220760,0.0,1.0
2017-08-08,46.6,46.7,45.5,45.55,45.55,233088,0.0,1.0
2017-08-07,46.1,47.0,45.8,46.85,46.85,379049,0.0,1.0
2017-08-04,46.4,46.9,45.9,46.25,46.25,517262,0.0,1.0
2017-08-03,44.05,47.5,43.83,46.4,46.4,853002,0.0,1.0
2017-08-02,42.1,42.1,40.55,40.85,40.85,458102,0.0,1.0
2017-08-01,40.45,41.9,39.45,41.9,41.9,384511,0.0,1.0
2017-07-31,40.65,40.65,39.8,40.15,40.15,439904,0.0,1.0
2017-07-28,40.6,40.95,40.35,40.65,40.65,205896,0.0,1.0
2017-07-27,42.25,42.3,40.1,40.85,40.85,199724,0.0,1.0
2017-07-26,42.6,42.8,41.85,42.0,42.0,164536,0.0,1.0
2017-07-25,42.05,42.85,42.0,42.4,42.4,162265,0.0,1.0
2017-07-24,41.75,42.25,41.05,42.05,42.05,158695,0.0,1.0
2017-07-21,43.1,43.5,41.8,41.8,41.8,185724,0.0,1.0
2017-07-20,42.6,43.1,42.2,42.9,42.9,250310,0.0,1.0
2017-07-19,42.25,42.6,41.85,42.45,42.45,200125,0.0,1.0
2017-07-18,41.7,42.195,41.35,42.1,42.1,225387,0.0,1.0
2017-07-17,42.3,42.35,41.6,41.85,41.85,193915,0.0,1.0
2017-07-14,42.2,42.51,41.65,42.25,42.25,270202,0.0,1.0
2017-07-13,42.2,42.25,41.7,42.15,42.15,226079,0.0,1.0
2017-07-12,41.95,42.5,41.75,42.25,42.25,172811,0.0,1.0
2017-07-11,40.65,41.65,40.65,41.65,41.65,213534,0.0,1.0
2017-07-10,41.45,41.65,40.45,40.7,40.7,225278,0.0,1.0
2017-07-07,40.4,41.65,40.25,41.45,41.45,209632,0.0,1.0
2017-07-06,39.95,40.35,39.65,40.25,40.25,160741,0.0,1.0
2017-07-05,39.95,40.7,39.6,40.35,40.35,130148,0.0,1.0
2017-07-03,41.15,41.45,39.65,39.8,39.8,120706,0.0,1.0
2017-06-30,40.75,41.2,40.55,40.8,40.8,185863,0.0,1.0
2017-06-29,41.8,42.15,39.85,40.6,40.6,281379,0.0,1.0
2017-06-28,40.9,42.1,40.65,41.9,41.9,311265,0.0,1.0
2017-06-27,40.9,41.6,40.6,40.7,40.7,438056,0.0,1.0
2017-06-26,41.45,41.75,40.75,41.1,41.1,280990,0.0,1.0
